,metabolite,name,description
136,indole,"""Indole""","""Human Metabolome Database (HMDB): Indole is an aromatic heterocyclic organic compound. It has a bicyclic structure, consisting of a six-membered benzene ring fused to a five-membered nitrogen-containing pyrrole ring. It can be produced by bacteria as a degradation product of the amino acid tryptophan. It occurs naturally in human feces and has an intense fecal smell. At very low concentrations, however, it has a flowery smell, and is a constituent of many flower scents (such as orange blossoms) and perfumes. Natural jasmine oil, used in the perfume industry, contains around 2.5% of indole. Indole also occurs in coal tar. The participation of the nitrogen lone electron pair in the aromatic ring means that indole is not a base, and it does not behave like a simple amine."""
137,core4,"""Core 4""",""""""
138,h2s,"""H2S""","""Human Metabolome Database (HMDB): Hydrogen sulfide is a highly toxic and flammable gas. Because it is heavier than air it tends to accumulate at the bottom of poorly ventilated spaces. Although very pungent at first, it quickly deadens the sense of smell, so potential victims may be unaware of its presence until it is too late. H2S arises from virtually anywhere where elemental sulfur comes into contact with organic material, especially at high temperatures. Hydrogen sulfide is a covalent hydride chemically related to water (H2O) since oxygen and sulfur occur in the same periodic table group. It often results when bacteria break down organic matter in the absence of oxygen, such as in swamps, and sewers (alongside the process of anaerobic digestion). It also occurs in volcanic gases, natural gas and some well waters. It is also important to note that Hydrogen sulfide is a central participant in the sulfur cycle, the biogeochemical cycle of sulfur on Earth. As mentioned above, sulfur-reducing and sulfate-reducing bacteria derive energy from oxidizing hydrogen or organic molecules in the absence of oxygen by reducing sulfur or sulfate to hydrogen sulfide. Other bacteria liberate hydrogen sulfide from sulfur-containing amino acids. Several groups of bacteria can use hydrogen sulfide as fuel, oxidizing it to elemental sulfur or to sulfate by using oxygen or nitrate as oxidant. The purple sulfur bacteria and the green sulfur bacteria use hydrogen sulfide as electron donor in photosynthesis, thereby producing elemental sulfur. (In fact, this mode of photosynthesis is older than the mode of cyanobacteria, algae and plants which uses water as electron donor and liberates oxygen)."""
139,so4,"""Sulfate""","""Human Metabolome Database (HMDB): The sulfate ion is a polyatomic anion with the empirical formula SO42- and a molecular mass of 96.06 daltons; it consists of one central sulfur atom surrounded by four equivalent oxygen atoms in a tetrahedral arrangement. The sulfate ion carries a negative two charge and is the conjugate base of the hydrogen sulfate ion, HSO4-, which is the conjugate base of H2SO4, sulfuric acid. In inorganic chemistry, a sulfate (IUPAC-recommended spelling; also sulphate in British English) is a salt of sulfuric acid. Sulfate aerosols can act as cloud condensation nuclei and this leads to greater numbers of smaller droplets of water. Lots of smaller droplets can diffuse light more efficiently than just a few larger droplets."""
140,galmannan,"""Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed""",""""""
141,C02528,"""Chenodeoxycholic acid""","""Human Metabolome Database (HMDB): Chenodeoxycholic acid is a bile acid. Bile acids are steroid acids found predominantly in bile of mammals. The distinction between different bile acids is minute, depends only on presence or absence of hydroxyl groups on positions 3, 7, and 12. Bile acids are physiological detergents that facilitate excretion, absorption, and transport of fats and sterols in the intestine and liver. Bile acids are also steroidal amphipathic molecules derived from the catabolism of cholesterol. They modulate bile flow and lipid secretion, are essential for the absorption of dietary fats and vitamins, and have been implicated in the regulation of all the key enzymes involved in cholesterol homeostasis. Bile acids recirculate through the liver, bile ducts, small intestine and portal vein to form an enterohepatic circuit. They exist as anions at physiological pH and, consequently, require a carrier for transport across the membranes of the enterohepatic tissues. The unique detergent properties of bile acids are essential for the digestion and intestinal absorption of hydrophobic nutrients. Bile acids have potent toxic properties (e.g., membrane disruption) and there are a plethora of mechanisms to limit their accumulation in blood and tissues. (PMID: 11316487, 16037564, 12576301, 11907135). Usually conjugated with either glycine or taurine. It acts as a detergent to solubilize fats for intestinal absorption and is reabsorbed by the small intestine. It is used as cholagogue, a choleretic laxative, and to prevent or dissolve gallstones."""
142,4abut,"""gamma-Aminobutyric acid""","""Human Metabolome Database (HMDB): gamma-Aminobutyric acid (GABA) is an inhibitory neurotransmitter found in the nervous systems of widely divergent species, including humans. It is the chief inhibitory neurotransmitter in the vertebrate central nervous system. In vertebrates, GABA acts at inhibitory synapses in the brain. It acts by binding to specific transmembrane receptors in the plasma membrane of both pre- and postsynaptic neurons. This binding causes the opening of ion channels to allow either the flow of negatively-charged chloride ions into the cell or positively-charged potassium ions out of the cell. This will typically result in a negative change in the transmembrane potential, usually causing hyperpolarization. Three general classes of GABA receptor are known (PMID: 10561820). These include GABA-A and GABA-C ionotropic receptors, which are ion channels themselves, and GABA-B metabotropic receptors, which are G protein-coupled receptors that open ion channels via intermediaries known as G proteins (PMID: 10561820). Activation of the GABA-B receptor by GABA causes neuronal membrane hyperpolarization and a resultant inhibition of neurotransmitter release. In addition to binding sites for GABA, the GABA-A receptor has binding sites for benzodiazepines, barbiturates, and neurosteroids. GABA-A receptors are coupled to chloride ion channels. Therefore, activation of the GABA-A receptor induces increased inward chloride ion flux, resulting in membrane hyperpolarization and neuronal inhibition (PMID: 10561820). After release into the synapse, free GABA that does not bind to either the GABA-A or GABA-B receptor complexes can be taken up by neurons and glial cells. Four different GABA membrane transporter proteins (GAT-1, GAT-2, GAT-3, and BGT-1), which differ in their distribution in the CNS, are believed to mediate the uptake of synaptic GABA into neurons and glial cells. The GABA-A receptor subtype regulates neuronal excitability and rapid changes in fear arousal, such as anxiety, panic, and the acute stress response (PMID: 10561820). Drugs that stimulate GABA-A receptors, such as the benzodiazepines and barbiturates, have anxiolytic and anti-seizure effects via GABA-A-mediated reduction of neuronal excitability, which effectively raises the seizure threshold. GABA-A antagonists produce convulsions in animals and there is decreased GABA-A receptor binding in a positron emission tomography (PET) study of patients with panic disorder. Neurons that produce GABA as their output are called GABAergic neurons and have chiefly inhibitory action at receptors in the vertebrate. Medium spiny neurons (MSNs) are a typical example of inhibitory CNS GABAergic cells. GABA has been shown to have excitatory roles in the vertebrate, most notably in the developing cortex. Organisms synthesize GABA from glutamate using the enzyme L-glutamic acid decarboxylase and pyridoxal phosphate as a cofactor (PMID: 12467378). It is worth noting that this involves converting the principal excitatory neurotransmitter (glutamate) into the principal inhibitory one (GABA). Drugs that act as agonists of GABA receptors (known as GABA analogs or GABAergic drugs), or increase the available amount of GABA typically have relaxing, anti-anxiety, and anti-convulsive effects. GABA is found to be deficient in cerebrospinal fluid and the brain in many studies of experimental and human epilepsy. Benzodiazepines (such as Valium) are useful in status epilepticus because they act on GABA receptors. GABA increases in the brain after administration of many seizure medications. Hence, GABA is clearly an antiepileptic nutrient. Inhibitors of GAM metabolism can also produce convulsions. Spasticity and involuntary movement syndromes, such as Parkinson's, Friedreich's ataxia, tardive dyskinesia, and Huntington's chorea, are all marked by low GABA when amino acid levels are studied. Trials of 2 to 3 g of GABA given orally have been effective in various epilepsy and spasticity syndromes. Agents that elevate GABA are also useful in lowering hypertension. Three grams orally have been effective in controlling blood pressure. GABA is decreased in various encephalopathies. GABA can reduce appetite and is decreased in hypoglycemics. GABA reduces blood sugar in diabetics. Chronic brain syndromes can also be marked by deficiencies of GABA. Vitamin B6, manganese, taurine, and lysine can increase both GABA synthesis and effects, while aspartic acid and glutamic acid probably inhibit GABA effects. Low plasma GABA has been reported in some depressed patients and may be a useful trait marker for mood disorders. GABA has an important role in embryonic development, especially facial development, as substantiated by the association of a cleft palate in transgenic mice deficient in GAD67 (glutamate decarboxylase). A recent Japanese population study reported linkage in patients with a nonsyndromic cleft lip with or without a cleft palate and specific GAD67 haplotypes (PMID: 23842532). Unusually high levels of GABA (especially in the brain) can be toxic and GABA can function as both a neurotoxin and a metabotoxin. A neurotoxin is a compound that damages the brain and/or nerve tissue. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels. Chronically high levels of GABA are associated with at least five inborn errors of metabolism, including D-2-hydroxyglutaric aciduria, 4-hydroxybutyric aciduria/succinic semialdehyde dehydrogenase deficiency, GABA-transaminase deficiency, homocarnosinosis, and hyper beta-alaninemia. Nearly all of these conditions are associated with seizures, hypotonia, intellectual deficits, macrocephaly, encephalopathy, and other serious neurological or neuromuscular problems. Increased levels of GABA seem to alter the function of the GABA-B receptor, which may play a role in the tonic-clonic seizures that are often seen in patients with the above disorders."""
143,ha_pre1,"""Hyaluronan biosynthesis, precursor 1""","""Human Metabolome Database (HMDB): This compound belongs to the family of N-acyl-alpha-hexosamines. These are carbohydrate derivatives containing a hexose moeity in which the oxygen atom is replaced by an n-acyl group."""
144,lanost,"""Lanosterin""","""Human Metabolome Database (HMDB): Lanosterol is a tetracyclic triterpenoid which is the compound from which all steroids are derived. Lanosterol is biochemically synthesized starting from acetyl-CoA by the HMG-CoA reductase pathway. The critical step is the enzymatic conversion of the acyclic terpene squalene to the polycylic lanosterol via 2,3-squalene oxide.(wikipedia)."""
145,pullulan1200,"""Pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds)""",""""""
146,gbbtn,"""Gamma-butyrobetaine""",""""""
147,tym,"""Tyramine""","""Human Metabolome Database (HMDB): Tyramine is a monoamine compound derived from the amino acid tyrosine. Tyramine is metabolized by the enzyme monoamine oxidase. In foods, it is often produced by the decarboxylation of tyrosine during fermentation or decay. Foods containing considerable amounts of tyramine include fish, chocolate, alcoholic beverages, cheese, soy sauce, sauerkraut, and processed meat. A large dietary intake of tyramine can cause an increase in systolic blood pressure of 30 mmHg or more. Tyramine acts as a neurotransmitter via a G protein-coupled receptor with high affinity for tyramine called TA1. The TA1 receptor is found in the brain as well as peripheral tissues including the kidney. An indirect sympathomimetic, Tyramine can also serve as a substrate for adrenergic uptake systems and monoamine oxidase so it prolongs the actions of adrenergic transmitters. It also provokes transmitter release from adrenergic terminals. Tyramine is a biomarker for the consumption of cheese"""
148,tsul,"""Thiosulfate""","""Human Metabolome Database (HMDB): Thiosulfate occurs naturally in hot springs and geysers, and is produced by certain biochemical processes. In the body, thiosulfate converts small amounts of cyanide ion into harmless products and plays a role in the biosynthesis of cysteine, a sulfur-containing amino acid that locks proteins into their correct three-dimensional shapes. Thiosulfate is not found in large quantities in nature. Solutions of thiosulfate break down into sulfur, sulfites, and sulfates when exposed to acids, light, metal ions, and bacteria. Thiosulfate is sometimes used as an antidote for cyanide poisoning. It reacts with cyanide to produce sulfite and thiocyanate ions: CN- + S2O32- SCN- + SO32- This reaction is catalyzed by an enzyme produced by cell mitochondria to neutralize small quantities of ingested cyanide (which occurs naturally in cassava root, lima beans, and almonds!). Thiosulfate is an intermediate in several biochemical pathways, including the synthesis of L-cysteine. Thiosulfate is manufactured by some cells by oxidation of elemental sulfur and by degradation of L-cysteine. Use: Photography (fixing agent to dissolve unchanged silver salts from exposed negatives), chrome tanning, removing chlorine in bleaching and papermaking, extraction of silver from its ores, dechlorination of water, mordant, reagent, bleaching, reducing agent in chrome dyeing, sequestrant in salt (up to 0.1%), antidote for cyanide poisoning. (Hawley's Condensed Chemical Dictionary) Source/Synthesis: Synthesis by dehydration of the pentahydrate at 105 degree. Alternatively formed by reaction of S2Cl2 with Na2O2 or by reduction of Na2S2O4 with sodium amalgam Use/Importance: Commercially available Biological Use/Importance: Cyanide antidote often administered with other antidotes, antifungal agent (ChemNetBase) Sodium thiosulfate is a common analytical reagent used in iodometric titration to analyze chlorine, bromine, and sulfide. Other uses are in bleaching paper pulp, bleaching straw, ivory, and bones, for removing chlorine from solutions, silver extraction from its ores, a mordant in dyeing and printing textiles, and as an antidote to cyanide poisoning. Another major application is in photography, where it is used as a fixer to dissolve unchanged silver salts from exposed negatives. (Handbook of Inorganic Chemicals)."""
149,hspg_degr_9,"""Product AS6TASE_HS2, GlcN2S-IdoA-GlcNAc3S-GlcA-Gal-Gal-Xyl-L-Ser (protein)""",""""""
150,sTn_antigen,"""Sialyl-Tn Antigen""",""""""
151,MGlcn63,"""mucin-type O-glycan No 63""",null
152,MGlcn33,"""mucin-type O-glycan No 33""",null
153,MGlcn33_rl,"""released mucin-type O-glycan No 33""",null
154,Tn_antigen,"""Tn Antigen""",""""""
155,MGlcn67_rl,"""released mucin-type O-glycan No 67""",null
156,MGlcn178,"""mucin-type O-glycan No 178""",null
157,MGlcn67,"""mucin-type O-glycan No 67""",null
158,MGlcn176,"""mucin-type O-glycan No 176""",null
159,MGlcn152,"""mucin-type O-glycan No 152""",null
160,MGlcn81,"""mucin-type O-glycan No 81""",null
161,MGlcn2,"""mucin-type O-glycan No 2""",null
162,MGlcn30,"""mucin-type O-glycan No 30""",null
163,MGlcn30_rl,"""released mucin-type O-glycan No 30""",null
164,MGlcn50,"""mucin-type O-glycan No 50""",null
165,MGlcn70,"""mucin-type O-glycan No 70""",null
166,MGlcn40,"""mucin-type O-glycan No 40""",null
167,dsT_antigen,"""Disialyl-T Antigen""",""""""
168,MGlcn145,"""mucin-type O-glycan No 145""",null
169,MGlcn69,"""mucin-type O-glycan No 69""",null
170,MGlcn10,"""mucin-type O-glycan No 10""",null
171,MGlcn63_rl,"""released mucin-type O-glycan No 63""",null
172,MGlcn145_rl,"""released mucin-type O-glycan No 145""",null
173,MGlcn55,"""mucin-type O-glycan No 55""",null
174,MGlcn55_rl,"""released mucin-type O-glycan No 55""",null
175,MGlcn146_rl,"""released mucin-type O-glycan No 146""",null
176,MGlcn69_rl,"""released mucin-type O-glycan No 69""",null
177,MGlcn40_rl,"""released mucin-type O-glycan No 40""",null
178,MGlcn35,"""mucin-type O-glycan No 35""",null
179,MGlcn50_rl,"""released mucin-type O-glycan No 50""",null
180,MGlcn35_rl,"""released mucin-type O-glycan No 35""",null
181,MGlcn75_rl,"""released mucin-type O-glycan No 75""",null
182,MGlcn42,"""mucin-type O-glycan No 42""",null
183,MGlcn71,"""mucin-type O-glycan No 71""",null
184,MGlcn42_rl,"""released mucin-type O-glycan No 42""",null
185,MGlcn34_rl,"""released mucin-type O-glycan No 34""",null
186,MGlcn70_rl,"""released mucin-type O-glycan No 70""",null
187,MGlcn56,"""mucin-type O-glycan No 56""",null
188,MGlcn34,"""mucin-type O-glycan No 34""",null
189,MGlcn56_rl,"""released mucin-type O-glycan No 56""",null
190,MGlcn118,"""mucin-type O-glycan No 118""",null
191,MGlcn47,"""mucin-type O-glycan No 47""",null
192,MGlcn47_rl,"""released mucin-type O-glycan No 47""",null
193,MGlcn157,"""mucin-type O-glycan No 157""",null
194,MGlcn36,"""mucin-type O-glycan No 36""",null
195,MGlcn195,"""mucin-type O-glycan No 195""",null
196,MGlcn76_rl,"""released mucin-type O-glycan No 76""",null
197,MGlcn36_rl,"""released mucin-type O-glycan No 36""",null
198,MGlcn157_rl,"""released mucin-type O-glycan No 157""",null
199,MGlcn71_rl,"""released mucin-type O-glycan No 71""",null
200,hspg_degr_4,"""Product AS6TASE_HS1, GlcN2S-GlcA-GlcN2,3diS""",""""""
201,glyclt,"""Glycolic acid""","""Human Metabolome Database (HMDB): Glycolic acid (or hydroxyacetic acid) is the smallest alpha-hydroxy acid (AHA). This colourless, odourless, and hygroscopic crystalline solid is highly soluble in water. Due to its excellent capability to penetrate skin, glycolic acid is often used in skin care products, most often as a chemical peel. It may reduce wrinkles, acne scarring, and hyperpigmentation and improve many other skin conditions, including actinic keratosis, hyperkeratosis, and seborrheic keratosis. Once applied, glycolic acid reacts with the upper layer of the epidermis, weakening the binding properties of the lipids that hold the dead skin cells together. This allows the outer skin to dissolve, revealing the underlying skin. It is thought that this is due to the reduction of calcium ion concentrations in the epidermis and the removal of calcium ions from cell adhesions, leading to desquamation. Glycolic acid is a known inhibitor of tyrosinase. This can suppress melanin formation and lead to a lightening of skin colour. Acute doses of glycolic acid on skin or eyes leads to local effects that are typical of a strong acid (e.g. dermal and eye irritation). Glycolate is a nephrotoxin if consumed orally. A nephrotoxin is a compound that causes damage to the kidney and kidney tissues. Glycolic acid's renal toxicity is due to its metabolism to oxalic acid. Glycolic and oxalic acid, along with excess lactic acid, are responsible for the anion gap metabolic acidosis. Oxalic acid readily precipitates with calcium to form insoluble calcium oxalate crystals. Renal tissue injury is caused by widespread deposition of oxalate crystals and the toxic effects of glycolic acid. Glycolic acid does exhibit some inhalation toxicity and can cause respiratory, thymus, and liver damage if present in very high levels over long periods of time."""
202,cit,"""Citric acid""","""Human Metabolome Database (HMDB): Citric acid (citrate) is a weak acid that is formed in the tricarboxylic acid cycle or that may be introduced with diet. The evaluation of plasma citric acid is scarcely used in the diagnosis of human diseases. On the contrary urinary citrate excretion is a common tool in the differential diagnosis of kidney stones, renal tubular acidosis and it plays also a role in bone diseases. The importance of hypocitraturia should be considered with regard to bone mass, urine crystallization and urolithiasis. (PMID 12957820) The secretory epithelial cells of the prostate gland of humans and other animals posses a unique citrate-related metabolic pathway regulated by testosterone and prolactin. This specialized hormone-regulated metabolic activity is responsible for the major prostate function of the production and secretion of extraordinarily high levels of citrate. The key regulatory enzymes directly associated with citrate production in the prostate cells are mitochondrial aspartate aminotransferase, pyruvate dehydrogenase, and mitochondrial aconitase. testosterone and prolactin are involved in the regulation of the corresponding genes associated with these enzymes. The regulatory regions of these genes contain the necessary response elements that confer the ability of both hormones to control gene transcription. Protein kinase C (PKC) is the signaling pathway for the prolactin regulation of the metabolic genes in prostate cells. testosterone and prolactin regulation of these metabolic genes (which are constitutively expressed in all mammalian cells is specific for these citrate-producing cells (PMID 12198595). Citric acid is found in citrus fruits, most concentrated in lemons and limes, where it can comprise as much as 8% of the dry weight of the fruit. Citric acid is a natural preservative and is also used to add an acidic (sour) taste to foods and soft drinks. The salts of citric acid (citrates) can be used as anticoagulants due to their calcium chelating ability. Intolerance to citric acid in the diet is known to exist. Little information is available as the condition appears to be rare, but like other types of food intolerance it is often described as a \""pseudo-allergic\"" reaction. Moreover, citric acid is found to be associated with maple syrup urine disease, primary hypomagnesemia, propionic acidemia, and tyrosinemia I, which are inborn errors of metabolism."""
203,galur,"""D-Galacturonate""","""Human Metabolome Database (HMDB): D-Galacturonic acid is a sugar acid, the oxidized form of D-galactose. It is the main component of pectin, in which it exists as the polymer polygalacturonic acid. -- Wikipedia."""
204,glyc,"""Glycerol""","""Human Metabolome Database (HMDB): Glycerol or glycerin is a colourless, odourless, viscous liquid that is sweet-tasting and mostly non-toxic. It is widely used in the food industry as a sweetener and humectant and in pharmaceutical formulations. Glycerol is an important component of triglycerides (i.e. fats and oils) and of phospholipids. Glycerol is a three-carbon substance that forms the backbone of fatty acids in fats. When the body uses stored fat as a source of energy, glycerol and fatty acids are released into the bloodstream. The glycerol component can be converted into glucose by the liver and provides energy for cellular metabolism. Normally, glycerol shows very little acute toxicity and very high oral doses or acute exposures can be tolerated. On the other hand, chronically high levels of glycerol in the blood are associated with glycerol kinase deficiency (GKD). GKD causes the condition known as hyperglycerolemia, an accumulation of glycerol in the blood and urine. There are three clinically distinct forms of GKD: infantile, juvenile, and adult. The infantile form is the most severe and is associated with vomiting, lethargy, severe developmental delay, and adrenal insufficiency. The mechanisms of glycerol toxicity in infants are not known, but it appears to shift metabolism towards chronic acidosis. Acidosis typically occurs when arterial pH falls below 7.35. In infants with acidosis, the initial symptoms include poor feeding, vomiting, loss of appetite, weak muscle tone (hypotonia), and lack of energy (lethargy). These can progress to heart, liver, and kidney abnormalities, seizures, coma, and possibly death. These are also the characteristic symptoms of untreated GKD. Many affected children with organic acidemias experience intellectual disability or delayed development. Patients with the adult form of GKD generally have no symptoms and are often detected fortuitously."""
205,hspg_degr_8,"""Product IDOURASE_HS2, GlcN2,6diS-IdoA-GlcNAc3S-GlcA-Gal-Gal-Xyl-L-Ser (protein)""",""""""
206,Lkynr,"""L-Kynurenine""","""Human Metabolome Database (HMDB): Kynurenine is a metabolite of the amino acid tryptophan used in the production of niacin. L-Kynurenine is a central compound of the tryptophan metabolism pathway since it can change into the neuroprotective agent kynurenic acid or to the neurotoxic agent quinolinic acid. The break-up of these endogenous compounds' balance can be observable in many disorders such as stroke, epilepsy, multiple sclerosis, and amyotrophic lateral sclerosis. It can also occur in neurodegenerative disorders such as Parkinson's disease, Huntington's, and Alzheimer's disease; and in mental disorders such as schizophrenia and depression."""
207,hspg_degr_7,"""Product IS2TASE_HS1, IdoA-GlcN2,6diS-IdoA-GlcNAc3S-GlcA-Gal-Gal-Xyl-L-Ser (protein)""",""""""
208,n2o,"""Nitrous oxide""","""Human Metabolome Database (HMDB): Aerosol propellant for foods. Nitrous oxide is a flavouring ingredien"""
209,no,"""Nitric oxide""","""Human Metabolome Database (HMDB): The biologically active molecule nitric oxide (NO) is a simple, membrane-permeable gas with unique chemistry. It is formed by the conversion of L-arginine to L-citrulline, with the release of NO. The enzymatic oxidation of L-arginine to L-citrulline takes place in the presence of oxygen and NADPH using flavin adenine dinucleotide (FAD), flavin mononucleotide (FMN), heme, thiol and tetrahydrobiopterin as cofactors. The enzyme responsible for the generation of NO is nitric oxide synthase (E.C. 1.7.99.7; NOS). Three NOS isoforms have been described and shown to be encoded on three distinct genes: Neuronal NOS (nNOS, NOS type I), inducible NOS (NOS type II) and endothelial NOS (eNOS, NOS type III). Two of them are constitutively expressed and dependent on the presence of calcium ions and calmodulin to function (nNOS and eNOS), while iNOS is considered non-constitutive and calcium-independent. However, experience has shown that constitutive expression of nNOS and eNOS is not as rigid as previously thought (i.e., either present or absent), but can be dynamically controlled during development and in response to injury. Functionally, NO may act as a hormone, neurotransmitter, paracrine messenger, mediator, cytoprotective and cytotoxic molecule. NO has multiple cellular molecular targets. It influences the activity of transcription factors, modulates upstream signaling cascades, mRNA stability and translation, and processes the primary gene products. In the brain, many processes are linked to NO. NO activates its receptor, soluble guanylate cyclase by binding to it. The stimulation of this enzyme leads to increased synthesis of the second messenger, cGMP, which in turn activates cGMP-dependent kinases in target cells. NO exerts strong influence on glutamatergic neurotransmission by directly interacting with the N-Methyl-d-Aspartate (NMDA) receptor. Neuronal NOS is connected to NMDA receptors (see below) and sharply increases NO production following activation of this receptor. Thus, the level of endogenously produced NO around NMDA synapses reflects the activity of glutamate-mediated neurotransmission. However, there is recent evidence showing that non-NMDA glutamate receptors (i.e., AMPA and type I metabotropic receptors) also contribute to NO generation. Besides its influence on glutamate, NO is known to have effects on the storage, uptake and/or release of most other neurotransmitters in the CNS (acetylcholine, dopamine, noradrenaline, GABA, and taurine and glycine, as well as of certain neuropeptides. Finally, since NO is a highly diffusible molecule, it may reach extrasynaptic receptors at target cell membranes at some distance from the place of NO synthesis. NO is thus capable of mediating both synaptic and nonsynaptic communication processes. NO is a potent vasodilator (a major endogenous regulator of vascular tone), and an important endothelium-dependent relaxing factor. NO is synthesized by NO synthases (NOS) and NOS are inhibited by asymmetrical dimethylarginine (ADMA). ADMA is metabolized by dimethylarginine dimethylaminohydrolase (DDAH) and excreted in the kidneys. Lower ADMA levels in pregnant women compared to non-pregnant controls suggest that ADMA has a role in vascular dilatation and blood pressure changes. Several studies show an increase in ADMA levels in pregnancies complicated with preeclampsia. Elevated ADMA levels in preeclampsia are seen before clinical symptoms have developed; these findings suggest that ADMA has a role in the pathogenesis of preeclampsia. In some pulmonary hypertensive states such as ARDS, the production of endogenous NO may be impaired. Nitric oxide inhalation selectively dilates the pulmonary circulation. Significant systemic vasodilation does not occur because NO is inactivated by rapidly binding to hemoglobin. In an injured lung with pulmonary hypertension, inhaled NO produces local vasodilation of well-ventilated lung units and may \""steal\"" blood flow away from unventilated regions. This reduces intrapulmonary shunting and may improve systemic arterial oxygenation. Nitric oxide is a chemical mediator fundamental in the maintenance of adequate tissue perfusion and effective cardiovascular function. The use of nitrates is well established as pharmacological agents but it is only recently that it has been recognized that they act as a source of nitric oxide. (PMID: 16966108, 8752507, 17181668, 16005189)."""
210,fol,"""Folic acid""","""Human Metabolome Database (HMDB): Folic acid is a member of the vitamin B family that stimulates the hematopoietic system. It is present in the liver and kidney and is found in mushrooms, spinach, yeast, green leaves, and grasses (poaceae). Folic acid, being biochemically inactive, is converted to tetrahydrofolic acid and methyltetrahydrofolate by dihydrofolate reductase. These folic acid congeners are transported across cells by receptor-mediated endocytosis where they are needed to maintain normal erythropoiesis, synthesize purine and thymidylate nucleic acids, interconvert amino acids, methylated tRNA, and generate and use formate. Folic acid is used in the treatment and prevention of folate deficiencies and megaloblastic anemia."""
211,fe2,"""Fe2+""","""Human Metabolome Database (HMDB): Iron is a chemical element with the symbol Fe and atomic number 26. Iron makes up 5% of the Earth's crust and is second in abundance to aluminium among the metals and fourth in abundance among the elements. Physiologically, it. exists as an ion in the body. Iron (as Fe2+, ferrous ion) is a necessary trace element used by all known living organisms. Iron-containing enzymes, usually containing heme prosthetic groups, participate in catalysis of oxidation reactions in biology, and in transport of a number of soluble gases. Iron is an essential constituent of hemoglobin, cytochrome, and other components of respiratory enzyme systems. Its chief functions are in the transport of oxygen to tissue (hemoglobin) and in cellular oxidation mechanisms. Inorganic iron involved in redox reactions is also found in the iron-sulfur clusters of many enzymes, such as nitrogenase (involved in the synthesis of ammonia from nitrogen and hydrogen) and hydrogenase. A class of non-heme iron proteins is responsible for a wide range of functions such as ribonucleotide reductase (reduces ribose to deoxyribose; DNA biosynthesis) and purple acid phosphatase (hydrolysis of phosphate esters). When the body is fighting a bacterial infection, the body sequesters iron inside of cells (mostly stored in the storage molecule ferritin) so that it cannot be used by bacteria. Depletion of iron stores may result in iron-deficiency anemia. Iron is used to build up the blood in anemia. Humans experience iron toxicity above 20 milligrams of iron for every kilogram of weight, and 60 milligrams per kilogram is a lethal dose. Over-consumption of iron, often the result of children eating large quantities of ferrous sulfate tablets intended for adult consumption, is the most common toxicological cause of death in children under six. The DRI lists the Tolerable Upper Intake Level (UL) for adults as 45 mg/day. For children under fourteen years old the UL is 40 mg/day. Iron is a metal extracted from iron ore, and is almost never found in the free elemental state."""
212,fe3,"""Fe3+""","""Human Metabolome Database (HMDB): The major activity of supplemental iron is in the prevention and treatment of iron deficiency anemia. Iron has putative immune-enhancing, anticarcinogenic and cognition-enhancing activities."""
